Title,Author,dataframe_library,source,rows,remarks
Lending Club || Risk Analysis and Metrics ,Janio Martinez Bachmann,Pandas,private datasource,887379,missing
Lending Club - Insightful Financial EDA,Leonardo Ferreira,Pandas,private datasource,100000,missing
Minimizing risks for loan investments ,Pavlo Fesenko ,Pandas,Data for year 2018  ,495242,missing
A Hitchhiker's Guide to Lending Club Loan Data,Pragyan Subedi,Pandas,private datasource,887379,missing
Lending Club Loan 💰Defaulters 🏃‍Prediction,Fares Sayah,Pandas,multiple data source,396030,Jean de Dieu Nyandwi
loan prediction-case study-DT && RF,Vahideh Dashti,Pandas,data for year 2007-15 ,9578,Shweta Shetye
Minimizing Risks for Loan Investments Keras – ANN,Tomas Mantero,Pandas,multiple data source,396030,Jean de Dieu Nyandwi
Prediction of LendingClub loan defaulters,Deepanshu Sharma,Pandas,data for year 2007-15 ,890000,missing
Lending Club-CHECK before you CHEQUE,Faraz Rahman,R readr,data for year 2007-15 ,887379,missing
Good or Bad Loan? (Draft),wsgt,Pandas,data for year 2007-15 ,600000,missing
Loans -getting Insights,Dsangeetha,R readr,data for year 2007-15 ,800000,missing
Analysis and Modelling of Lending Club loan data,AdityaSheth,Pandas,data for year 2007-15 ,800000,missing
Analyze Lending Loan Club,jayko,Pandas,data for year 2007-15 ,887379,missing
Lending Club Data - Some Insights,Ashok,R readr,data for year 2007-15 ,887379,missing
